571232,Melbourne,07/12/2012,AJ Finch,Docklands Stadium,0,Melbourne Renegades,Melbourne Stars,Melbourne Stars,bat,Melbourne Renegades,wickets,8,N,NA,SD Fry,PR Reiffel
571233,Sydney,08/12/2012,BJ Haddin,Sydney Cricket Ground,0,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,wickets,7,N,NA,AJ Barrow,AP Ward
571234,Brisbane,09/12/2012,TR Birt,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,bat,Hobart Hurricanes,wickets,8,N,NA,SJ Davis,DB Mealey
571235,Perth,09/12/2012,PJ Hughes,Western Australia Cricket Association Ground,0,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers,wickets,6,N,NA,IH Lock,P Wilson
571236,Perth,12/12/2012,SL Malinga,Western Australia Cricket Association Ground,0,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,runs,24,N,D/L,IH Lock,JD Ward
571237,Adelaide,13/12/2012,LA Pomersbach,Adelaide Oval,0,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,wickets,3,N,NA,DB Mealey,P Wilson
571238,Sydney,14/12/2012,AW O'Brien,Stadium Australia,0,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,wickets,5,N,NA,AJ Barrow,AP Ward
571239,Melbourne,15/12/2012,CJ McKay,Melbourne Cricket Ground,0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Melbourne Stars,wickets,4,N,NA,GC Joshua,MD Martell
571240,Sydney,16/12/2012,MA Beer,Sydney Cricket Ground,0,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,wickets,7,N,NA,GA Abood,AP Ward
571241,Brisbane,18/12/2012,NM Coulter-Nile,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,wickets,9,N,D/L,DB Mealey,PR Reiffel
571242,Melbourne,19/12/2012,MN Samuels,Docklands Stadium,0,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades,wickets,7,N,NA,SJ Nogajski,JD Ward
571243,Sydney,20/12/2012,KW Richardson,Stadium Australia,0,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,Adelaide Strikers,runs,51,N,NA,BNJ Oxenford,PR Reiffel
571245,Melbourne,22/12/2012,BCJ Cutting,Docklands Stadium,0,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Melbourne Renegades,wickets,6,N,NA,GA Abood,BNJ Oxenford
571247,Adelaide,23/12/2012,TP Ludeman,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Adelaide Strikers,wickets,9,N,NA,SD Fry,SJ Nogajski
571248,Sydney,26/12/2012,RT Ponting,Sydney Cricket Ground,0,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,wickets,7,N,NA,SJ Davis,DB Mealey
571249,Adelaide,27/12/2012,BJ Hodge,Adelaide Oval,0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,runs,8,N,NA,GC Joshua,IH Lock
571250,Sydney,28/12/2012,DT Christian,Stadium Australia,0,Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat,wickets,5,N,NA,SJ Davis,PR Reiffel
571251,Perth,29/12/2012,SE Marsh,Western Australia Cricket Association Ground,0,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Perth Scorchers,runs,51,N,NA,GC Joshua,MD Martell
571252,Sydney,30/12/2012,DP Hughes,Stadium Australia,0,Sydney Thunder,Sydney Sixers,Sydney Thunder,bat,Sydney Sixers,wickets,4,N,NA,GA Abood,AJ Barrow
571254,Melbourne,02/01/2013,M Muralitharan,Docklands Stadium,0,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,field,Melbourne Renegades,runs,48,N,NA,SJ Nogajski,P Wilson
571256,Perth,04/01/2013,JP Behrendorff,Western Australia Cricket Association Ground,0,Perth Scorchers,Sydney Thunder,Sydney Thunder,bat,Perth Scorchers,wickets,9,N,NA,DB Mealey,JD Ward
571258,Melbourne,06/01/2013,AJ Finch,Melbourne Cricket Ground,0,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades,wickets,9,N,NA,SD Fry,SJ Nogajski
571259,Brisbane,07/01/2013,MJ Lumb,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,Sydney Sixers,wickets,5,N,NA,DB Mealey,BNJ Oxenford
571260,Melbourne,08/01/2013,CH Gayle,Melbourne Cricket Ground,0,Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Melbourne Stars,runs,13,N,NA,GC Joshua,MD Martell
571262,Adelaide,10/01/2013,SE Marsh,Adelaide Oval,0,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,runs,98,N,NA,MD Martell,P Wilson
571264,Melbourne,04/02/2013,LA Pomersbach,Docklands Stadium,0,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,runs,15,N,NA,JD Ward,P Wilson
571265,Perth,05/02/2013,SE Marsh,Western Australia Cricket Association Ground,0,Perth Scorchers,Melbourne Stars,Perth Scorchers,field,Perth Scorchers,wickets,8,N,D/L,SD Fry,MD Martell
571266,Perth,19/01/2013,NM Hauritz,Western Australia Cricket Association Ground,0,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,runs,34,N,NA,SD Fry,MD Martell
654031,Melbourne,20/12/2013,LJ Wright,Melbourne Cricket Ground,0,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Stars,runs,76,N,NA,SD Fry,JD Ward
654033,Sydney,21/12/2013,NJ Maddinson,Sydney Cricket Ground,0,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,wickets,6,N,NA,GA Abood,AJ Barrow
654035,Hobart,22/12/2013,NA,Bellerive Oval,0,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,field,NA,NA,NA,NA,NA,MD Martell,SJ Nogajski
654037,Brisbane,22/12/2013,CA Lynn,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Perth Scorchers,Perth Scorchers,bat,Brisbane Heat,wickets,3,N,NA,IH Lock,DB Mealey
654039,Perth,26/12/2013,Yasir Arafat,Western Australia Cricket Association Ground,0,Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Perth Scorchers,runs,6,N,NA,MD Martell,P Wilson
654041,Sydney,27/12/2013,MEK Hussey,Stadium Australia,0,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,Adelaide Strikers,runs,6,N,NA,SD Fry,MW Graham-Smith
654043,Brisbane,28/12/2013,BR Dunk,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,bat,Hobart Hurricanes,wickets,3,N,NA,GA Abood,DB Mealey
654045,Sydney,29/12/2013,GJ Maxwell,Sydney Cricket Ground,0,Sydney Sixers,Melbourne Stars,Sydney Sixers,field,Melbourne Stars,runs,77,N,NA,AJ Barrow,MW Graham-Smith
654047,Melbourne,30/12/2013,AJ Finch,Docklands Stadium,0,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,bat,Melbourne Renegades,runs,57,N,NA,GC Joshua,SJ Nogajski
654051,Hobart,01/01/2014,JL Pattinson,Bellerive Oval,0,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades,runs,51,N,NA,GC Joshua,IH Lock
654053,Sydney,01/01/2014,BJ Hodge,Stadium Australia,0,Sydney Thunder,Melbourne Stars,Sydney Thunder,bat,Melbourne Stars,wickets,7,N,NA,GA Abood,MW Graham-Smith
654055,Brisbane,02/01/2014,B Lee,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Sydney Sixers,Brisbane Heat,field,Sydney Sixers,runs,4,N,NA,AJ Barrow,JD Ward
654057,Perth,03/01/2014,SM Katich,Western Australia Cricket Association Ground,0,Perth Scorchers,Sydney Thunder,Sydney Thunder,bat,Perth Scorchers,wickets,6,N,NA,GC Joshua,DB Mealey
654059,Melbourne,04/01/2014,CL White,Docklands Stadium,0,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,bat,Melbourne Stars,wickets,9,N,NA,AJ Barrow,AP Ward
654061,Adelaide,05/01/2014,MJ Lumb,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,bat,Sydney Sixers,wickets,6,N,NA,SD Fry,SJ Nogajski
654063,Perth,07/01/2014,NM Coulter-Nile,Western Australia Cricket Association Ground,0,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,bat,Perth Scorchers,runs,6,N,NA,IH Lock,JD Ward
654065,Sydney,08/01/2014,CA Lynn,Stadium Australia,0,Sydney Thunder,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,runs,48,N,NA,SD Fry,AP Ward
654067,Melbourne,09/01/2014,JP Faulkner,Melbourne Cricket Ground,0,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Stars,wickets,8,N,NA,MW Graham-Smith,GC Joshua
654069,Sydney,10/01/2014,Yasir Arafat,Sydney Cricket Ground,0,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,tie,NA,Y,NA,GA Abood,SD Fry
654071,Hobart,11/01/2014,BR Dunk,Bellerive Oval,0,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,bat,Hobart Hurricanes,runs,73,N,NA,DB Mealey,SJ Nogajski
654073,Brisbane,11/01/2014,LJ Wright,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Melbourne Stars,Brisbane Heat,bat,Melbourne Stars,wickets,3,N,NA,AJ Barrow,P Wilson
654075,Melbourne,14/01/2014,GS Sandhu,Docklands Stadium,0,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,bat,Sydney Thunder,wickets,9,N,NA,GC Joshua,AP Ward
654077,Sydney,15/01/2014,SPD Smith,Sydney Cricket Ground,0,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,bat,Sydney Sixers,runs,7,N,NA,MW Graham-Smith,P Wilson
654079,Perth,16/01/2014,CJ Simmons,Western Australia Cricket Association Ground,0,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Perth Scorchers,runs,5,N,NA,AJ Barrow,IH Lock
654081,Adelaide,18/01/2014,DL Vettori,Adelaide Oval,0,Adelaide Strikers,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,runs,32,N,NA,SJ Nogajski,P Wilson
